,name,age,team,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,season
0,Clint Benedict*,25,OTS,22.0,,9,13,0,114,,,,5.11,1,3.7,1337.0,,,,0.0,0.0,0,0,0,0,60.773,1918
1,Art Brooks,28,TRA,4.0,,2,2,0,23,,,,6.27,0,0.4,220.0,,,,0.0,0.0,0,0,0,0,55.0,1918
2,Sammy Hebert,23,TRA,2.0,,1,0,0,10,,,,7.50,0,0.0,80.0,,,,0.0,0.0,0,0,0,0,40.0,1918
3,Hap Holmes*,29,TRA,16.0,,9,7,0,76,,,,4.73,0,3.1,965.0,,,,0.0,0.0,0,0,0,0,60.312,1918
4,Bert Lindsay,36,MTW,4.0,,1,3,0,35,,,,8.75,0,-0.2,240.0,,,,0.0,0.0,0,0,0,0,60.0,1918
5,Georges Vezina*,31,MTL,21.0,,12,9,0,84,,,,3.93,1,5.1,1282.0,,,,0.0,0.0,0,0,0,0,61.048,1918
6,Clint Benedict*,26,OTS,18.0,,12,6,0,53,,,,2.86,2,4.5,1111.0,,,,0.0,0.0,0,0,0,3,61.722,1919
7,Sprague Cleghorn*,28,OTS,1.0,,0,0,0,0,,,,0.00,0,0.0,3.0,,,,0.0,0.0,7,8,15,27,3.0,1919
8,Hap Holmes*,30,TRA,2.0,,0,2,0,9,,,,4.50,0,0.3,120.0,,,,0.0,0.0,0,0,0,0,60.0,1919
9,Bert Lindsay,37,TRA,16.0,,5,11,0,83,,,,5.09,0,1.5,978.0,,,,0.0,0.0,0,0,0,0,61.125,1919
10,Georges Vezina*,32,MTL,18.0,,10,8,0,78,,,,4.27,1,2.7,1097.0,,,,0.0,0.0,0,1,1,0,60.944,1919
11,Clint Benedict*,27,OTS,24.0,,19,5,0,64,,,,2.66,5,7.6,1443.0,,,,0.0,0.0,0,0,0,2,60.125,1920
12,Frank Brophy,19,QBC,21.0,,3,18,0,148,,,,7.11,0,1.1,1249.0,,,,0.0,0.0,0,0,0,0,59.476,1920
13,Jack Darragh*,29,OTS,1.0,,0,0,0,0,,,,0.00,0,0.0,2.0,,,,0.0,0.0,23,14,37,22,2.0,1920
14,Jake Forbes,22,TRS,5.0,,2,3,0,21,,,,4.20,0,1.1,300.0,,,,0.0,0.0,0,0,0,0,60.0,1920
15,Howard Lockhart,24,QBC,8.0,,4,3,0,36,,,,5.84,0,-0.2,370.0,,,,0.0,0.0,0,0,0,0,46.25,1920
16,Mike Mitchell,26,TRS,16.0,,6,7,0,60,,,,4.34,0,3.0,830.0,,,,0.0,0.0,0,0,0,0,51.875,1920
17,Harry Mummery,30,QBC,3.0,,1,1,0,18,,,,7.63,0,0.1,142.0,,,,0.0,0.0,9,9,18,38,47.333,1920
18,Georges Vezina*,33,MTL,24.0,,13,11,0,113,,,,4.66,0,4.8,1455.0,,,,0.0,0.0,0,0,0,0,60.625,1920
19,Clint Benedict*,28,OTS,24.0,,14,10,0,75,,,,3.08,2,5.8,1462.0,,,,0.0,0.0,0,0,0,0,60.917,1921
20,Jake Forbes,23,TRS,20.0,,13,7,0,78,,,,3.83,0,3.8,1221.0,,,,0.0,0.0,0,0,0,0,61.05,1921
21,Howard Lockhart,25,HAM,24.0,,6,18,0,132,,,,5.45,1,1.9,1454.0,,,,0.0,0.0,0,0,0,0,60.583,1921
22,Mike Mitchell,27,TRS,4.0,,2,2,0,22,,,,5.50,0,0.3,240.0,,,,0.0,0.0,0,0,0,0,60.0,1921
23,Georges Vezina*,34,MTL,24.0,,13,11,0,99,,,,4.12,1,4.1,1441.0,,,,0.0,0.0,0,0,0,0,60.042,1921
24,Clint Benedict*,29,OTS,24.0,,14,8,2,84,,,,3.34,2,5.0,1508.0,,,,0.0,0.0,0,0,0,0,62.833,1922
25,Sprague Cleghorn*,31,MTL,1.0,,0,0,0,0,,,,0.00,0,0.0,2.0,,,,0.0,0.0,17,9,26,80,2.0,1922
26,Howard Lockhart,26,HAM,24.0,,6,17,0,103,,,,4.39,0,2.9,1408.0,,,,0.0,0.0,0,0,0,0,58.667,1922
27,Mike Mitchell,28,TRS,2.0,,2,0,0,6,,,,3.00,0,0.5,120.0,,,,0.0,0.0,0,0,0,0,60.0,1922
28,Harry Mummery,32,HAM,1.0,,1,0,0,2,,,,2.45,0,0.2,50.0,,,,0.0,0.0,4,2,6,40,50.0,1922
29,John Ross Roach,21,TRS,22.0,,11,10,1,91,,,,4.07,0,3.3,1340.0,,,,0.0,0.0,0,0,0,0,60.909,1922
30,Georges Vezina*,35,MTL,24.0,,12,11,1,94,,,,3.84,0,4.0,1469.0,,,,0.0,0.0,0,0,0,2,61.208,1922
31,Clint Benedict*,30,OTS,24.0,,14,9,1,54,,,,2.18,4,6.2,1489.0,,,,0.0,0.0,0,0,0,2,62.042,1923
32,Jake Forbes,25,HAM,24.0,,6,18,0,110,,,,4.49,0,1.2,1470.0,,,,0.0,0.0,0,0,0,0,61.25,1923
33,John Ross Roach,22,TRS,24.0,,13,10,1,88,,,,3.59,1,3.1,1469.0,,,,0.0,0.0,0,0,0,0,61.208,1923
34,Georges Vezina*,36,MTL,24.0,,13,9,2,61,,,,2.46,2,5.6,1488.0,,,,0.0,0.0,0,0,0,0,62.0,1923
35,Clint Benedict*,31,OTS,22.0,,15,7,0,45,,,,1.99,3,5.2,1356.0,,,,0.0,0.0,0,0,0,0,61.636,1924
36,Jake Forbes,26,HAM,24.0,,9,15,0,68,,,,2.75,1,3.7,1483.0,,,,0.0,0.0,0,0,0,0,61.792,1924
37,Sammy Hebert,29,OTS,2.0,,1,1,0,9,,,,4.50,0,-0.1,120.0,,,,0.0,0.0,0,0,0,0,60.0,1924
38,Howard Lockhart,28,TRS,1.0,,0,1,0,5,,,,5.00,0,-0.1,60.0,,,,0.0,0.0,0,0,0,0,60.0,1924
39,John Ross Roach,23,TRS,23.0,,10,13,0,80,,,,3.48,1,1.6,1380.0,,,,0.0,0.0,0,0,0,0,60.0,1924
40,Georges Vezina*,37,MTL,24.0,,13,11,0,48,,,,1.97,3,5.7,1459.0,,,,0.0,0.0,0,0,0,0,60.792,1924
41,Clint Benedict*,32,MTM,30.0,,9,19,2,65,,,,2.12,2,6.2,1843.0,,,,0.0,0.0,0,0,0,2,61.433,1925
42,King Clancy*,21,OTS,1.0,,0,0,0,0,,,,0.00,0,0.0,2.0,,,,0.0,0.0,14,8,22,63,2.0,1925
43,Alec Connell*,22,OTS,30.0,,17,12,1,66,,,,2.14,7,6.2,1852.0,,,,0.0,0.0,0,0,0,2,61.733,1925
44,Jake Forbes,27,HAM,30.0,,19,10,1,60,,,,1.96,6,6.7,1834.0,,,,0.0,0.0,0,0,0,2,61.133,1925
45,Hec Fowler,32,BOS,7.0,,1,6,0,42,,,,6.16,0,-1.8,409.0,,,,0.0,0.0,0,0,0,0,58.429,1925
46,Howard Lockhart,29,BOS,2.0,,0,2,0,11,,,,5.50,0,-0.4,120.0,,,,0.0,0.0,0,0,0,0,60.0,1925
47,Dunc Munro,24,MTM,1.0,,0,0,0,0,,,,0.00,0,0.0,2.0,,,,0.0,0.0,5,1,6,16,2.0,1925
48,George Redding,21,BOS,1.0,,0,0,0,1,,,,5.45,0,0.0,11.0,,,,0.0,0.0,3,2,5,10,11.0,1925
49,John Ross Roach,24,TRS,30.0,,19,11,0,84,,,,2.80,1,3.7,1800.0,,,,0.0,0.0,0,0,0,0,60.0,1925
50,Jesse Spring,24,HAM,1.0,,0,0,0,0,,,,0.00,0,0.0,2.0,,,,0.0,0.0,2,1,3,11,2.0,1925
51,Charles Stewart,29,BOS,21.0,,5,16,0,65,,,,3.08,2,1.9,1266.0,,,,0.0,0.0,0,0,0,0,60.286,1925
52,Georges Vezina*,38,MTL,30.0,,17,11,2,56,,,,1.81,5,7.4,1860.0,,,,0.0,0.0,0,0,0,0,62.0,1925
53,Clint Benedict*,33,MTM,36.0,,20,11,5,73,,,,1.92,6,7.6,2286.0,,,,0.0,0.0,0,0,0,0,63.5,1926
54,Odie Cleghorn,34,PTP,1.0,,1,0,0,2,,,,2.00,0,0.2,60.0,,,,0.0,0.0,2,1,3,4,60.0,1926
55,Alec Connell*,23,OTS,36.0,,24,8,4,42,,,,1.12,15,11.1,2251.0,,,,0.0,0.0,0,0,0,0,62.528,1926
