,season,team,name,pos,age,gp,goals,assists,points,plusmin,plm,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,toi,hits,faceoff_wins,faceoff_losses,block,faceoff_pct,shot_pct,gpg,toi_avg,mean_mtrc_d,mean_mtrc_f,year_max_d,year_max_f,final_mean_mtrc_d,final_mean_mtrc_f
265,1924,OTS,Frank Nighbor*,C,31,0.5859401022088143,0.20766758903865035,0.2164858618749527,0.25535156125640035,,0.08429484855953955,,,,0.07442456317204302,,,,,,,,,,,,0.09877560419016954,,0.2164858618749527,0.19457015409004322,0.3608097697915878,0.2568963653569625,60.0,76.0
258,1924,OTS,King Clancy*,D,20,0.7031281226505771,0.15103097384629116,0.3608097697915878,0.27037224133030624,,0.094831704629482,,,,0.07442456317204302,,,,,,,,,,,,0.05986400253949666,,0.3608097697915878,0.21051924687692045,0.3608097697915878,0.2568963653569625,100.0,82.0
263,1924,OTS,Harry Helman,D,29,0.5566430970983736,0.018878871730786395,0.0,0.015020680073905904,,0.010536856069942443,,,,0.0,,,,,,,,,,,,0.009452210927288948,,0.0,0.010837940682995312,0.3608097697915878,0.2568963653569625,0.0,4.0
264,1924,OTS,Lionel Hitchman,D,22,0.7031281226505771,0.03775774346157279,0.3608097697915878,0.18024816088687082,,0.1685896971190791,,,,0.0,,,,,,,,,,,,0.014966000634874166,,0.3608097697915878,0.1484454186937264,0.3608097697915878,0.2568963653569625,100.0,57.99999999999999
255,1924,OTS,Georges Boucher*,F,27,0.6152371073192552,0.24542533250022314,0.324728792812429,0.33045496162592986,,0.22127397746879127,,,,0.148849126344086,,,,,,,,,,,,0.11117600471620813,,0.324728792812429,0.2529462729136975,0.3608097697915878,0.2568963653569625,90.0,98.0
257,1924,OTS,Earl Campbell,F,23,0.5273460919879329,0.09439435865393199,0.14432390791663513,0.13518612066515312,,0.05268428034971221,,,,0.07442456317204302,,,,,,,,,,,,0.04988666878291391,,0.14432390791663513,0.10594776400465854,0.3608097697915878,0.2568963653569625,40.0,41.0
261,1924,OTS,Frank Finnigan,F,20,0.08789101533132214,0.0,0.036080976979158776,0.015020680073905904,,0.0,,,,0.0,,,,,,,,,,,,0.0,,0.036080976979158776,0.01277541426326617,0.3608097697915878,0.2568963653569625,10.0,5.0
260,1924,OTS,Cy Denneny*,LW,32,0.6445341124296957,0.4153351780773007,0.07216195395831757,0.36049632177374163,,0.05268428034971221,,,,0.5209719422043011,,,,,,,,,,,,0.17959200761849,,0.07216195395831757,0.2568963653569625,0.3608097697915878,0.2568963653569625,20.0,100.0
262,1924,OTS,Leth Graham,LW,29,0.08789101533132214,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.3608097697915878,0.2568963653569625,0.0,0.0
266,1924,OTS,Rod Smylie,LW,28,0.3808610664357293,0.018878871730786395,0.036080976979158776,0.030041360147811808,,0.04214742427976977,,,,0.0,,,,,,,,,,,,0.013814769816806923,,0.036080976979158776,0.024703994668640972,0.3608097697915878,0.2568963653569625,10.0,10.0
256,1924,OTS,Punch Broadbent*,RW,31,0.6445341124296957,0.16990984557707756,0.1804048848957939,0.21028952103468265,,0.2528845456786186,,,,0.22327368951612905,,,,,,,,,,,,0.07346945766210955,,0.1804048848957939,0.15851842729241591,0.3608097697915878,0.2568963653569625,50.0,62.0
259,1924,OTS,Jack Darragh*,RW,33,0.5273460919879329,0.03775774346157279,0.0,0.030041360147811808,,0.010536856069942443,,,,0.07442456317204302,,,,,,,,,,,,0.019954667513165558,,0.0,0.02193844278063754,0.3608097697915878,0.2568963653569625,0.0,9.0
295,1925,HAM,Billy Burch*,C,24,0.651931031873949,0.3414264036418816,0.1713598539234728,0.3360324075925037,,0.036695226106802266,,,,0.19273473502304145,,,,,,,,,,,,0.14451916752127325,,0.1713598539234728,0.2483344581697828,0.4855195861165063,0.4318395677619469,35.0,57.99999999999999
302,1925,HAM,Mickey Roach,C,29,0.7243678131932767,0.10242792109256449,0.1713598539234728,0.15509188042730937,,0.029356180885441813,,,,0.19273473502304145,,,,,,,,,,,,0.039020175230743775,,0.1713598539234728,0.11697495766852262,0.4855195861165063,0.4318395677619469,35.0,27.0
298,1925,HAM,Charlie Langlois,D,30,0.7243678131932767,0.10242792109256449,0.0856799269617364,0.11631891032048204,,0.2018237435874125,,,,0.06424491167434715,,,,,,,,,,,,0.039020175230743775,,0.0856799269617364,0.08586173340138167,0.4855195861165063,0.4318395677619469,18.0,20.0
299,1925,HAM,Alex McKinnon,D,29,0.7002222194201675,0.13657056145675264,0.0856799269617364,0.14216755705836695,,0.17246756270197067,,,,0.06424491167434715,,,,,,,,,,,,0.05382093135275004,,0.0856799269617364,0.1045597442074015,0.4855195861165063,0.4318395677619469,18.0,24.0
301,1925,HAM,Ken Randall,D,36,0.7243678131932767,0.13657056145675264,0.25703978088520923,0.21971349727202164,,0.1908151757553718,,,,0.1284898233486943,,,,,,,,,,,,0.05202690030765837,,0.25703978088520923,0.16633768498041046,0.4855195861165063,0.4318395677619469,53.0,39.0
294,1925,HAM,Edmond Bouchard,F,32,0.5794942505546214,0.03414264036418816,0.05711995130782427,0.05169729347576979,,0.05137331654952317,,,,0.1284898233486943,,,,,,,,,,,,0.01625840634614324,,0.05711995130782427,0.03980457287348136,0.4855195861165063,0.4318395677619469,12.0,9.0
