,season,Unnamed: 0,age,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg
0,1918,2.5,28.666666666666668,11.5,0.0,5.666666666666667,5.666666666666667,0.0,57.0,0.0,0.0,0.0,6.048333333333333,0.3333333333333333,2.016666666666667,687.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.18883333333333
1,1919,8.0,30.6,11.0,0.0,5.4,5.4,0.0,44.6,0.0,0.0,0.0,3.344,0.6,1.8,661.8,0.0,0.0,0.0,0.0,0.0,1.4,1.8,3.2,6.0,49.3582
2,1920,14.5,26.25,12.75,0.0,6.0,6.0,0.0,57.5,0.0,0.0,0.0,4.555,0.625,2.1875,723.875,0.0,0.0,0.0,0.0,0.0,4.0,2.875,6.875,7.75,48.460499999999996
3,1921,21.0,27.4,19.2,0.0,9.6,9.6,0.0,81.2,0.0,0.0,0.0,4.396,0.8,3.18,1163.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5184
4,1922,27.0,28.857142857142858,14.0,0.0,6.571428571428571,6.571428571428571,0.5714285714285714,54.285714285714285,0.0,0.0,0.0,3.012857142857143,0.2857142857142857,2.2714285714285714,842.4285714285714,0.0,0.0,0.0,0.0,0.0,3.0,1.5714285714285714,4.571428571428571,17.428571428571427,50.802428571428564
5,1923,32.5,28.25,24.0,0.0,11.5,11.5,1.0,78.25,0.0,0.0,0.0,3.1799999999999997,1.75,4.025,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,61.625
6,1924,37.5,29.0,16.0,0.0,8.0,8.0,0.0,42.5,0.0,0.0,0.0,3.2816666666666663,1.3333333333333333,2.6666666666666665,976.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.70333333333334
7,1925,46.5,26.916666666666668,15.333333333333334,0.0,7.25,7.25,0.5,37.5,0.0,0.0,0.0,2.585,1.9166666666666667,2.4916666666666667,916.75,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,8.833333333333334,41.8345
8,1926,58.5,28.166666666666668,21.25,0.0,9.583333333333334,9.583333333333334,1.8333333333333333,48.416666666666664,0.0,0.0,0.0,2.4091666666666667,3.1666666666666665,3.508333333333334,1308.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.25,0.3333333333333333,54.40899999999999
9,1927,71.0,30.46153846153846,33.92307692307692,0.0,15.538461538461538,15.538461538461538,2.769230769230769,67.61538461538461,0.0,0.0,0.0,1.9784615384615387,6.538461538461538,5.646153846153846,2127.153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,62.27707692307692
