,name,age,team,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,season
0,Hardy Astrom,28,CLR,49.0,,9,27,6,161,1242,1081,.870,3.77,0,5.9,2566.0,,,,110.0,-15.06,0,0,0,6,52.367,1980
1,Steve Baker,22,NYR,27.0,,9,8,6,79,667,588,.882,3.41,1,3.9,1389.0,,,,101.0,-0.63,0,0,0,2,51.444,1980
2,Marco Baron,20,BOS,1.0,,0,0,0,2,13,11,.846,3.00,0,0.1,40.0,,,,0.0,0.0,0,0,0,0,40.0,1980
3,Yves Belanger,27,BOS,8.0,,2,0,3,19,132,113,.856,3.48,0,0.9,328.0,,,,0.0,0.0,0,0,0,0,41.0,1980
4,Dan Bouchard,29,ATF,53.0,,23,19,10,163,1598,1435,.898,3.19,2,9.5,3065.0,,,,87.0,24.77,0,1,1,34,57.83,1980
5,Rollie Boutin,22,WSH,18.0,,7,7,1,54,454,400,.881,3.50,0,2.5,926.0,,,,101.0,-0.65,0,1,1,6,51.444,1980
6,Richard Brodeur,27,NYI,2.0,,1,0,0,6,35,29,.829,4.50,0,0.1,80.0,,,,0.0,0.0,0,0,0,0,40.0,1980
7,Gary Bromley,30,VAN,15.0,,8,2,4,43,399,356,.892,3.01,1,2.9,858.0,,,,92.0,3.88,0,0,0,2,57.2,1980
8,Gerry Cheevers*,39,BOS,42.0,,24,11,7,116,968,852,.880,2.81,4,8.9,2474.0,,,,102.0,-2.26,0,0,0,62,58.905,1980
9,Jim Corsi,25,EDM,26.0,,8,14,3,83,659,576,.874,3.66,0,3.3,1360.0,,,,107.0,-5.57,0,3,3,6,52.308,1980
10,Jim Craig,22,ATF,4.0,,1,2,1,13,82,69,.841,3.79,0,0.5,206.0,,,,0.0,0.0,0,0,0,0,51.5,1980
11,Jiri Crha,29,TOR,15.0,,8,7,0,50,546,496,.908,3.62,0,2.1,830.0,,,,78.0,14.16,0,0,0,4,55.333,1980
12,Don Cutts,26,EDM,6.0,,1,2,1,16,142,126,.887,3.57,0,0.7,269.0,,,,0.0,0.0,0,0,0,6,44.833,1980
13,John Davidson,26,NYR,41.0,,20,15,4,122,1061,939,.885,3.18,2,7.1,2299.0,,,,98.0,2.67,0,2,2,2,56.073,1980
14,Michel Dion,25,QUE,50.0,,15,25,6,171,1520,1349,.888,3.71,2,6.6,2765.0,,,,96.0,7.6,0,0,0,8,55.3,1980
15,Dave Dryden,38,EDM,14.0,,2,7,3,53,351,298,.849,4.29,0,1.2,741.0,,,,129.0,-11.76,0,0,0,0,52.929,1980
16,Bob Dupuis,27,EDM,1.0,,0,1,0,4,35,31,.886,4.05,0,0.1,59.0,,,,0.0,0.0,0,0,0,0,59.0,1980
17,Don Edwards,24,BUF,49.0,,27,9,12,125,1167,1042,.893,2.57,2,11.5,2915.0,,,,91.0,12.13,0,1,1,8,59.49,1980
18,Gary Edwards,32,MNS,26.0,,9,7,10,82,668,586,.877,3.20,0,4.7,1536.0,,,,104.0,-3.51,0,0,0,0,59.077,1980
19,Tony Esposito*,36,CBH,69.0,,31,22,16,205,2109,1904,.903,2.98,6,14.0,4131.0,,,,83.0,42.81,0,1,1,2,59.87,1980
20,John Garrett,28,HAR,52.0,,16,24,11,202,1502,1300,.866,3.99,0,6.1,3040.0,,,,114.0,-25.51,0,2,2,12,58.462,1980
21,Gilles Gilbert,30,BOS,33.0,,20,9,3,88,805,717,.891,2.73,1,7.2,1931.0,,,,93.0,6.59,0,1,1,10,58.515,1980
22,Ron Grahame,29,LAK,26.0,,9,11,4,98,782,684,.875,4.18,2,2.5,1406.0,,,,107.0,-6.11,0,1,1,2,54.077,1980
23,Doug Grant,31,STL,1.0,,0,0,0,1,13,12,.923,1.95,0,0.1,31.0,,,,0.0,0.0,0,0,0,0,31.0,1980
24,Pierre Hamel,27,WIN,35.0,,9,19,3,130,1055,925,.877,4.02,0,3.8,1939.0,,,,105.0,-6.03,0,2,2,10,55.4,1980
25,Glen Hanlon,22,VAN,57.0,,17,29,10,193,1644,1451,.883,3.48,0,9.0,3331.0,,,,100.0,0.17,0,1,1,28,58.439,1980
26,Paul Harrison,24,TOR,30.0,,9,17,2,110,852,742,.871,4.45,0,2.1,1485.0,,,,110.0,-9.89,0,1,1,4,49.5,1980
27,Denis Herron,27,MTL,34.0,,25,3,3,80,858,778,.907,2.52,0,7.6,1908.0,,,,79.0,20.82,0,0,0,0,56.118,1980
28,Goran Hogosta,25,QUE,21.0,,5,12,3,83,636,553,.869,4.18,1,2.1,1193.0,,,,111.0,-8.27,0,0,0,0,56.81,1980
29,Rob Holland,22,PIT,34.0,,10,17,6,126,927,801,.864,3.84,1,4.4,1969.0,,,,116.0,-17.08,0,0,0,2,57.912,1980
30,Gary Inness,30,WSH,14.0,,2,9,2,44,348,304,.874,3.64,0,1.8,724.0,,,,108.0,-3.11,0,0,0,2,51.714,1980
31,Steve Janaszak,23,MNS,1.0,,0,0,1,2,28,26,.929,2.00,0,0.3,60.0,,,,0.0,0.0,0,0,0,0,60.0,1980
32,Doug Keans,22,LAK,10.0,,3,3,3,23,247,224,.907,2.48,0,2.3,556.0,,,,0.0,0.0,0,0,0,0,55.6,1980
33,Michel Larocque,27,MTL,39.0,,17,13,8,125,1042,917,.880,3.33,3,6.6,2255.0,,,,102.0,-2.56,0,2,2,4,57.821,1980
