,season,team,name,age,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,mean_mtrc,year_mean,final_mean_mtrc,ajc_metric_g
0,1924,HAM,Jake Forbes,26,0.7439452439452441,,0.272093023255814,-0.43826219512195114,,1.6,,,,-0.025894953184829584,0.06156716417910448,0.2627868936519331,1.5189484465687948,,,,,,,,,,0.6868511119652957,0.5512427140004489,0.5547866060587148,99.36,
1,1924,MTL,Georges Vezina*,37,0.7439452439452441,,0.3930232558139536,-0.32139227642276413,,1.1294117647058823,,,,-0.01855020282695065,0.18470149253731344,0.4048338631935186,1.494366678047115,,,,,,,,,,0.6757355773982756,0.5366315175722043,0.5547866060587148,96.73,
2,1924,OTS,Clint Benedict*,31,0.6819498069498071,,0.45348837209302334,-0.2045223577235772,,1.0588235294117647,,,,-0.01873852975920395,0.18470149253731344,0.36932212080812216,1.3888699214749058,,,,,,,,,,0.6851170885728404,0.5181903840339966,0.5547866060587148,93.4,
3,1924,OTS,Sammy Hebert,29,0.06199543699543701,,0.03023255813953489,-0.02921747967479674,,0.21176470588235294,,,,-0.04237355975699386,0.0,-0.007102348477079274,0.12290884260839875,,,,,,,,,,0.6669320740211959,0.12311345894981435,0.5547866060587148,22.19,
4,1924,TRS,Howard Lockhart,28,0.030997718497718506,,0.0,-0.02921747967479674,,0.1176470588235294,,,,-0.04708173306332652,0.0,-0.007102348477079274,0.061454421304199376,,,,,,,,,,0.6669320740211959,0.0992037139289301,0.5547866060587148,17.88,
5,1924,TRS,John Ross Roach,23,0.7129475254475257,,0.30232558139534893,-0.3798272357723576,,1.8823529411764703,,,,-0.03276888621207525,0.06156716417910448,0.11363757563326839,1.413451689996586,,,,,,,,,,0.6669320740211959,0.5547866060587148,0.5547866060587148,100.0,
6,1925,BOS,Hec Fowler,32,0.22641811772246562,,0.03336006415396953,-0.19343986543313704,-0.0,1.12,,,,-0.07363716616304444,0.0,-0.13682116129758062,0.44614125988546494,,,,,,0.0,0.0,0.0,-0.0,0.9424032258064516,0.23310644105206202,0.6077524801984729,38.36,26.900000000000002
7,1925,BOS,Howard Lockhart,29,0.06469089077784732,,0.0,-0.06447995514437901,-0.0,0.2933333333333333,,,,-0.06574746978843254,0.0,-0.030404702510573475,0.1308971911644396,,,,,,0.0,0.0,0.0,-0.0,0.967741935483871,0.1296031223316106,0.6077524801984729,21.32,24.2
8,1925,BOS,George Redding,21,0.03234544538892366,,0.0,-0.0,-0.0,0.02666666666666667,,,,-0.06514976551762862,0.0,0.0,0.011998909190073627,,,,,,1.5,2.0,1.6666666666666667,-0.06550752646340928,0.1774193548387097,0.011777308410333571,0.6077524801984729,1.94,76.3
9,1925,BOS,Charles Stewart,29,0.6792543531673968,,0.16680032076984766,-0.5158396411550322,-0.0,1.7333333333333334,,,,-0.03681858308152223,0.08565866320571057,0.144422336925224,1.3809653667848378,,,,,,0.0,0.0,0.0,-0.0,0.9723548387096773,0.44433306678896256,0.6077524801984729,73.11,42.4
10,1925,HAM,Jake Forbes,27,0.9703633616677099,,0.6338412189254211,-0.3223997757218951,-0.3032069970845481,1.6,,,,-0.023430007415514147,0.25697598961713175,0.5092787670521056,2.000545404963185,,,,,,0.0,0.0,0.0,-0.013101505292681857,0.986016129032258,0.5661041366817751,0.6077524801984729,93.15,81.89999999999999
11,1925,HAM,Jesse Spring,24,0.03234544538892366,,0.0,-0.0,-0.0,0.0,,,,-0.0,0.0,0.0,0.0021816198527406603,,,,,,1.0,1.0,1.0,-0.07205827910975021,0.03225806451612904,-0.0005273149351956857,0.6077524801984729,-0.09,69.6
12,1925,MTL,Georges Vezina*,38,0.9703633616677099,,0.5671210906174821,-0.35463975329408454,-0.6064139941690962,1.4933333333333334,,,,-0.02163689460310235,0.21414665801427646,0.5624869964456094,2.0289064630488136,,,,,,0.0,0.0,0.0,-0.0,1.0,0.5286546170443459,0.6077524801984729,86.99,75.1
13,1925,MTM,Clint Benedict*,32,0.9703633616677099,,0.3002405773857258,-0.6125595738716006,-0.6064139941690962,1.7333333333333334,,,,-0.025342661082086732,0.08565866320571057,0.47127288891388885,2.010362694300518,,,,,,0.0,0.0,0.0,-0.013101505292681857,0.9908548387096776,0.5004428045715372,0.6077524801984729,82.34,80.60000000000001
14,1925,MTM,Dunc Munro,24,0.03234544538892366,,0.0,-0.0,-0.0,0.0,,,,-0.0,0.0,0.0,0.0021816198527406603,,,,,,2.5,1.0,2.0,-0.10481204234145484,0.03225806451612904,-0.003802691258366149,0.6077524801984729,-0.63,100.8
15,1925,OTS,King Clancy*,21,0.03234544538892366,,0.0,-0.0,-0.0,0.0,,,,-0.0,0.0,0.0,0.0021816198527406603,,,,,,7.0,8.0,7.333333333333332,-0.41269741671947846,0.03225806451612904,-0.034591228696168506,0.6077524801984729,-5.69,394.6
16,1925,OTS,Alec Connell*,22,0.9703633616677099,,0.5671210906174821,-0.3868797308662741,-0.3032069970845481,1.76,,,,-0.025581742790408302,0.299805321219987,0.47127288891388885,2.020179983637851,,,,,,0.0,0.0,0.0,-0.013101505292681857,0.9956935483870968,0.578854512779262,0.6077524801984729,95.25,83.5
17,1925,TRS,John Ross Roach,24,0.9703633616677099,,0.6338412189254211,-0.35463975329408454,-0.0,2.24,,,,-0.033471439165020204,0.042829331602855285,0.2812434982228047,1.963457867466594,,,,,,0.0,0.0,0.0,-0.0,0.967741935483871,0.6077524801984729,0.6077524801984729,100.0,50.4
18,1926,BOS,Moe Roberts,20,0.04667891726715257,,0.025237613751263908,-0.024390243902439022,-0.0,0.10327022375215147,,,,-0.04527774214845594,0.0,0.0,0.06498470948012232,,,,,,0.0,0.0,0.0,-0.0,0.5270612398684041,0.06723271043169356,0.5033432021261759,13.36,
19,1926,BOS,Charles Stewart,30,0.8168810521751699,,0.4038018200202225,-0.34146341463414626,-0.33077126954677977,1.6523235800344236,,,,-0.028346688427220296,0.15553809897879028,0.31850911935215354,1.6605504587155964,,,,,,0.0,0.0,0.0,-0.0,0.7695962202944366,0.4672817156942425,0.5033432021261759,92.84,
20,1926,MTL,Frenchy Lacroix,28,0.11669729316788141,,0.025237613751263908,-0.09756097560975609,-0.0,0.3304647160068847,,,,-0.04399508656351384,0.0,0.005398459650036501,0.21406727828746175,,,,,,0.0,0.0,0.0,-0.0,0.6944806925324855,0.12195523774714798,0.5033432021261759,24.23,
21,1926,MTL,Herb Rheaume,26,0.7235232176408649,,0.2523761375126391,-0.48780487804878037,-0.08269281738669496,1.9001721170395869,,,,-0.03758180863880338,0.0,0.12416457195083949,1.4426605504587156,,,,,,0.0,0.0,0.0,-0.0,0.7548881113418737,0.43373290643576023,0.5033432021261759,86.17,
22,1926,MTL,Georges Vezina*,39,0.023339458633576286,,0.0,-0.0,-0.0,0.0,,,,-0.0,0.0,0.005398459650036501,0.01529051987767584,,,,,,0.0,0.0,0.0,-0.0,0.248028818761602,0.029205725692289065,0.5033432021261759,5.8,
23,1926,MTM,Clint Benedict*,33,0.8402205108087464,,0.5047522750252782,-0.26829268292682923,-0.4134640869334748,1.5077452667814115,,,,-0.024626987230888218,0.15553809897879028,0.41028293340277394,1.7477064220183487,,,,,,0.0,0.0,0.0,-0.0,0.7874914995680862,0.47426009744669645,0.5033432021261759,94.22,
24,1926,NYA,Jake Forbes,28,0.8402205108087464,,0.3028513650151668,-0.48780487804878037,-0.33077126954677977,1.7762478485370052,,,,-0.029501078453668172,0.05184603299293009,0.302313740402044,1.7125382262996942,,,,,,0.0,0.0,0.0,-0.0,0.7716424580492198,0.4606731591040411,0.5033432021261759,91.52,
25,1926,NYA,Joe Ironstone,27,0.023339458633576286,,0.0,-0.0,-0.0,0.06196213425129087,,,,-0.05771950132239427,0.0,-0.005398459650036501,0.03058103975535168,,,,,,0.0,0.0,0.0,-0.0,0.496057637523204,0.054882230919099204,0.5033432021261759,10.9,
26,1926,OTS,Alec Connell*,23,0.8402205108087464,,0.6057027300303337,-0.19512195121951215,-0.33077126954677977,0.8674698795180723,,,,-0.014365742551351462,0.3888452474469757,0.5992290211540516,1.720948012232416,,,,,,0.0,0.0,0.0,-0.0,0.7754372989762723,0.465189100681889,0.5033432021261759,92.42,
27,1926,PTP,Odie Cleghorn,34,0.023339458633576286,,0.025237613751263908,-0.0,-0.0,0.04130808950086059,,,,-0.025653111698841893,0.0,0.010796919300073001,0.045871559633027525,,,,,,12.0,12.0,12.0,-0.6943797805121384,0.7440864562848059,0.014536959114136295,0.5033432021261759,2.89,
28,1926,PTP,Roy Worters*,25,0.8168810521751699,,0.45427704752275017,-0.39024390243902435,-0.08269281738669496,1.40447504302926,,,,-0.024370456113899798,0.18146111547525537,0.3886890948026281,1.6399082568807342,,,,,,0.0,0.0,0.0,-0.0,0.760034709331177,0.46941420957546054,0.5033432021261759,93.26,
29,1926,TRS,John Ross Roach,25,0.8402205108087464,,0.3028513650151668,-0.5121951219512193,-0.24807845216008487,2.354561101549053,,,,-0.03937752645772231,0.05184603299293009,0.11336765265076652,1.7048929663608563,,,,,,0.0,0.0,0.0,-0.0,0.7681948574684335,0.5033432021261759,0.5033432021261759,100.0,
30,1927,BOS,Charles Stewart,31,0.30702502131073567,,0.14008749712180524,-0.16546929083152212,-0.0547457078069323,0.7246871444823664,,,,-0.03514243160639488,0.025109745390693595,0.08050618437234272,0.6130257114960402,,,,,,,,,-0.0,0.6727772612345324,0.2167773638041862,0.40072004194294086,54.1,42.4
31,1927,CBH,Hugh Lehman*,41,0.6432905208415415,,0.29574027170158884,-0.33093858166304424,-0.16423712342079688,1.715585893060296,,,,-0.038890957644410334,0.06277436347673399,0.11740485220966647,1.313962318735761,,,,,,,,,-0.0,0.6882491338336615,0.40072004194294086,0.40072004194294086,100.0,66.10000000000001
32,1927,DTC,Hap Holmes*,38,0.5994298035114364,,0.17121805203776194,-0.39110923287450683,-0.2189828312277292,1.4789533560864618,,,,-0.03623575170081605,0.07532923617208079,0.14424024700044738,1.214768741185405,,,,,,,,,-0.0,0.6828426461397081,0.35492362142924877,0.40072004194294086,88.57,67.7
33,1927,DTC,Herb Stuart,27,0.0438607173301051,,0.01556527745797836,-0.030085325605731298,-0.0,0.0739476678043231,,,,-0.026083493681190867,0.0,0.020126546093085677,0.0846201135500669,,,,,,,,,-0.0,0.6500786806356704,0.08164649061263289,0.40072004194294086,20.37,22.5
