,season,team,name,age,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,mean_mtrc,year_mean,final_mean_mtrc
35,1924,OTS,Clint Benedict*,31,0.6819498069498071,,0.45348837209302334,-0.2045223577235772,,1.0588235294117647,,,,-0.01873852975920395,0.18470149253731344,0.36932212080812216,1.3888699214749058,,,,,,,,,,0.6851170885728404,0.5181903840339966,0.5547866060587148,93.4
37,1924,OTS,Sammy Hebert,29,0.06199543699543701,,0.03023255813953489,-0.02921747967479674,,0.21176470588235294,,,,-0.04237355975699386,0.0,-0.007102348477079274,0.12290884260839875,,,,,,,,,,0.6669320740211959,0.12311345894981435,0.5547866060587148,22.19
44,1925,HAM,Jake Forbes,27,0.9703633616677099,,0.6338412189254211,-0.3223997757218951,-0.3032069970845481,1.6,,,,-0.023430007415514147,0.25697598961713175,0.5092787670521056,2.000545404963185,,,,,,0.0,0.0,0.0,-0.013101505292681857,0.986016129032258,0.5661041366817751,0.6077524801984729,93.15
50,1925,HAM,Jesse Spring,24,0.03234544538892366,,0.0,-0.0,-0.0,0.0,,,,-0.0,0.0,0.0,0.0021816198527406603,,,,,,1.0,1.0,1.0,-0.07205827910975021,0.03225806451612904,-0.0005273149351956857,0.6077524801984729,-0.09
53,1926,MTM,Clint Benedict*,33,0.8402205108087464,,0.5047522750252782,-0.26829268292682923,-0.4134640869334748,1.5077452667814115,,,,-0.024626987230888218,0.15553809897879028,0.41028293340277394,1.7477064220183487,,,,,,0.0,0.0,0.0,-0.0,0.7874914995680862,0.47426009744669645,0.5033432021261759,94.22
69,1927,MTL,George Hainsworth*,31,0.6432905208415415,,0.43582776882339397,-0.21059727924011903,-0.1094914156138646,0.9908987485779296,,,,-0.022959721982844655,0.17576821773485513,0.3387968592336089,1.2876360611868514,,,,,,,,,-0.0,0.6744566311595082,0.3767798621897466,0.40072004194294086,94.03
83,1928,MTL,George Hainsworth*,32,0.7405789758730937,,0.5154403354937097,-0.21074903371984538,-0.2151130722559294,0.8612440191387559,,,,-0.01768516152285145,0.16334145598537922,0.48901415743824495,1.4967105263157894,,,,,,0.0,0.0,0.0,-0.0,0.7193662846109699,0.4026708151863606,0.42572819953018104,94.58
97,1929,NYA,Jake Forbes,31,0.016717870650454922,,0.020970560559214955,-0.0,-0.0,0.07009345794392524,,,,-0.062106252167277734,0.0,-0.007751539947699071,0.03258508327299059,,,,,,0.0,,0.0,-0.0,0.7160071261735961,0.076554574592599,0.43807389158161253,17.48
101,1929,NYA,Normie Himes,25,0.016717870650454922,,0.0,-0.02026645989003242,-0.0,0.07009345794392524,,,,-0.062106252167277734,0.0,-0.007751539947699071,0.03258508327299059,,,,,,15.0,,15.0,-0.36778590069498857,0.7160071261735961,0.037749338534096906,0.43807389158161253,8.62
106,1929,NYA,Flat Walsh,31,0.18389657715500415,,0.06291168167764485,-0.08106583956012968,-0.09676819055889835,0.21028037383177567,,,,-0.015733583882377028,0.041389690204439986,0.13177617911088416,0.3855901520637219,,,,,,0.0,,0.0,-0.0,0.7702446659812461,0.15296100243456667,0.43807389158161253,34.92
107,1929,NYA,Roy Worters*,28,0.6352790847172871,,0.3355289689474393,-0.24319751868038908,-0.24192047639724584,1.074766355140187,,,,-0.02380739666412313,0.13451649316442996,0.3178131378556618,1.2979724837074584,,,,,,0.0,,0.0,-0.0,0.750554470011472,0.3701976632854738,0.43807389158161253,84.51
108,1930,MTM,Clint Benedict*,37,0.265854306394847,,0.10763423840253258,-0.10402034648618734,-0.04443550819342516,0.4573405073020753,,,,-0.029608344223313897,0.0,0.07906570746653054,0.4408096280087527,,,,,,,,,,0.5582302989156473,0.18035958324276963,0.5418884808032026,33.28
112,1930,MTM,Abbie Cox,25,0.01898959331391764,,0.02152684768050652,-0.0,-0.0,0.026133743274404302,,,,-0.020073453710721285,0.0,0.008785078607392282,0.037199124726477024,,,,,,,,,,0.6595088791190256,0.08117144059227727,0.5418884808032026,14.98
123,1930,MTM,Flat Walsh,32,0.6076669860453645,,0.36595641056861083,-0.22884476226961223,-0.17774203277370065,1.0061491160645657,,,,-0.02388740991575833,0.10734787600459242,0.2899075940439452,1.2021517140773157,,,,,,,,,,0.6660380170223039,0.3831985664776684,0.5418884808032026,70.72
133,1931,MTL,George Hainsworth*,35,0.7339370119639179,,0.5044148737719191,-0.18749184818051384,-0.2756427246223164,1.2666034155597723,,,,-0.02325947866486044,0.16696180116367315,0.3604466075680068,1.5032918800292612,,,,,,,0.0,0.0,,0.6945814819406562,0.47104757186195517,0.47104757186195517,100.0
147,1932,MTL,George Hainsworth*,36,1.2688609236832589,,0.8087690712487039,-0.4689684635699857,-0.31836734693877555,2.413793103448276,,,,-0.0053964354802274765,0.22485399091499025,0.5601852319949848,2.6163021868787277,,,,,,0.0,0.0,0.0,-0.006845997836035166,0.9393924284275538,0.7223809621522768,0.7268766620218614,99.38
151,1932,MTL,Albert Leduc,29,0.026434602576734564,,0.0,-0.03126456423799906,-0.0,0.0219435736677116,,,,-0.07392377370174626,0.0,-0.006224280355499832,0.001739562624254473,,,,,,3.28125,2.1724137931034484,2.7540983606557377,-0.20537993508105498,0.029980449947422206,-0.02366943645601773,0.7268766620218614,-3.26
