,Player,Team,Season
0,Nikita Kucherov,TBL,2019
1,Taylor Hall,NJD,2018
2,Connor McDavid,EDM,2017
3,Patrick Kane,CHI,2016
4,Carey Price,MTL,2015
5,Sidney Crosby,PIT,2014
6,Alex Ovechkin,WSH,2013
7,Evgeni Malkin,PIT,2012
8,Corey Perry,ANA,2011
9,Henrik Sedin,VAN,2010
10,Alex Ovechkin,WSH,2009
11,Alex Ovechkin,WSH,2008
12,Sidney Crosby,PIT,2007
13,Joe Thornton,TOT,2006
14,Martin St. Louis,TBL,2004
15,Peter Forsberg,COL,2003
16,Jose Theodore,MTL,2002
17,Joe Sakic,COL,2001
18,Chris Pronger,STL,2000
19,Jaromir Jagr,PIT,1999
20,Dominik Hasek,BUF,1998
21,Dominik Hasek,BUF,1997
22,Mario Lemieux,PIT,1996
23,Eric Lindros,PHI,1995
24,Sergei Fedorov,DET,1994
25,Mario Lemieux,PIT,1993
26,Mark Messier,NYR,1992
27,Brett Hull,STL,1991
28,Mark Messier,EDM,1990
29,Wayne Gretzky,LAK,1989
30,Mario Lemieux,PIT,1988
31,Wayne Gretzky,EDM,1987
32,Wayne Gretzky,EDM,1986
33,Wayne Gretzky,EDM,1985
34,Wayne Gretzky,EDM,1984
35,Wayne Gretzky,EDM,1983
36,Wayne Gretzky,EDM,1982
37,Wayne Gretzky,EDM,1981
38,Wayne Gretzky,EDM,1980
39,Bryan Trottier,NYI,1979
40,Guy Lafleur,MTL,1978
41,Guy Lafleur,MTL,1977
42,Bobby Clarke,PHI,1976
43,Bobby Clarke,PHI,1975
44,Phil Esposito,BOS,1974
45,Bobby Clarke,PHI,1973
46,Bobby Orr,BOS,1972
47,Bobby Orr,BOS,1971
48,Bobby Orr,BOS,1970
49,Phil Esposito,BOS,1969
50,Stan Mikita,CBH,1968
51,Stan Mikita,CBH,1967
52,Bobby Hull,CBH,1966
53,Bobby Hull,CBH,1965
54,Jean Beliveau,MTL,1964
55,Gordie Howe,DET,1963
56,Jacques Plante,MTL,1962
57,Bernie Geoffrion,MTL,1961
58,Gordie Howe,DET,1960
59,Andy Bathgate,NYR,1959
60,Gordie Howe,DET,1958
61,Gordie Howe,DET,1957
62,Jean Beliveau,MTL,1956
63,Ted Kennedy,TOR,1955
64,Al Rollins,CBH,1954
65,Gordie Howe,DET,1953
66,Gordie Howe,DET,1952
67,Milt Schmidt,BOS,1951
68,Chuck Rayner,NYR,1950
69,Sid Abel,DET,1949
70,Buddy O'Connor,NYR,1948
71,Maurice Richard,MTL,1947
72,Max Bentley,CBH,1946
73,Elmer Lach,MTL,1945
74,Babe Pratt,TOR,1944
75,Bill Cowley,BOS,1943
76,Tom Anderson,BRO,1942
77,Bill Cowley,BOS,1941
78,Ebbie Goodfellow,DET,1940
79,Toe Blake,MTL,1939
80,Eddie Shore,BOS,1938
81,Babe Siebert,MTL,1937
82,Eddie Shore,BOS,1936
83,Eddie Shore,BOS,1935
84,Aurele Joliat,MTL,1934
85,Eddie Shore,BOS,1933
86,Howie Morenz,MTL,1932
87,Howie Morenz,MTL,1931
88,Nels Stewart,MTM,1930
89,Roy Worters,NYA,1929
90,Howie Morenz,MTL,1928
91,Herb Gardiner,MTL,1927
92,Nels Stewart,MTM,1926
93,Billy Burch,HAM,1925
94,Frank Nighbor,OTS,1924
