,season,Unnamed: 0,age,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,name,team
0,1918,0.0,25,1.9130434782608696,,1.588235294117647,2.2941176470588234,,2.0,,,,0.8448608432074953,3.0,1.8347107438016526,1.9451988360814743,,,,,,,,,,1.0815850124431605,Clint Benedict*,OTS
1,1918,0.4,28,0.34782608695652173,,0.3529411764705882,0.3529411764705882,,0.40350877192982454,,,,1.036649214659686,0.0,0.1983471074380165,0.3200775945683802,,,,,,,,,,0.9788421780128318,Art Brooks,TRA
2,1918,0.8,23,0.17391304347826086,,0.1764705882352941,0.0,,0.17543859649122806,,,,1.2400110223201986,0.0,0.0,0.11639185257032007,,,,,,,,,,0.7118852203729686,Sammy Hebert,TRA
3,1918,1.2,29,1.391304347826087,,1.588235294117647,1.2352941176470587,,1.3333333333333333,,,,0.7820336180766052,0.0,1.5371900826446279,1.4039767216294858,,,,,,,,,,1.073380535278362,Hap Holmes*,TRA
4,1918,1.6,36,0.34782608695652173,,0.1764705882352941,0.5294117647058824,,0.6140350877192983,,,,1.4466795260402316,0.0,-0.09917355371900825,0.3491755577109602,,,,,,,,,,1.0678278305594529,Bert Lindsay,MTW
5,1918,2.0,31,1.826086956521739,,2.1176470588235294,1.588235294117647,,1.4736842105263157,,,,0.6497657756957841,3.0,2.52892561983471,1.865179437439379,,,,,,,,,,1.0864792233332248,Georges Vezina*,MTL
6,1919,0.75,26,1.6363636363636365,,2.222222222222222,1.111111111111111,,1.1883408071748878,,,,0.8552631578947368,3.3333333333333335,2.5,1.6787549108491993,,,,,,0.0,0.0,0.0,0.5,1.2504913064090668,Clint Benedict*,OTS
7,1919,0.875,28,0.09090909090909091,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.004533091568449683,,,,,,5.0,4.444444444444445,4.6875,4.5,0.060780174317539945,Sprague Cleghorn*,OTS
8,1919,1.0,30,0.18181818181818182,,0.0,0.37037037037037035,,0.20179372197309417,,,,1.3456937799043063,0.0,0.16666666666666666,0.1813236627379873,,,,,,0.0,0.0,0.0,0.0,1.215603486350799,Hap Holmes*,TRA
9,1919,1.125,37,1.4545454545454546,,0.9259259259259258,2.0370370370370368,,1.8609865470852018,,,,1.5221291866028708,0.0,0.8333333333333333,1.4777878513145966,,,,,,0.0,0.0,0.0,0.0,1.2383960517198764,Bert Lindsay,TRA
10,1919,1.25,32,1.6363636363636365,,1.8518518518518516,1.4814814814814814,,1.748878923766816,,,,1.276913875598086,1.6666666666666667,1.5,1.6576004835297675,,,,,,0.0,0.5555555555555556,0.3125,0.0,1.234728981202718,Georges Vezina*,MTL
11,1920,0.7586206896551724,27,1.8823529411764706,,3.1666666666666665,0.8333333333333334,,1.1130434782608696,,,,0.5839736553238201,8.0,3.474285714285714,1.9934380935935072,,,,,,0.0,0.0,0.0,0.25806451612903225,1.2407011896286668,Clint Benedict*,OTS
12,1920,0.8275862068965517,19,1.6470588235294117,,0.5,3.0,,2.5739130434782607,,,,1.560922063666301,0.0,0.5028571428571429,1.7254360214125366,,,,,,0.0,0.0,0.0,0.0,1.2273088391576648,Frank Brophy,QBC
13,1920,0.896551724137931,29,0.0784313725490196,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0027629079606285617,,,,,,5.75,4.869565217391305,5.381818181818182,2.838709677419355,0.04127072564253361,Jack Darragh*,OTS
14,1920,0.9655172413793104,22,0.39215686274509803,,0.3333333333333333,0.5,,0.3652173913043478,,,,0.9220636663007685,0.0,0.5028571428571429,0.4144361940942842,,,,,,0.0,0.0,0.0,0.0,1.2381217692760085,Jake Forbes,TRS
15,1920,1.0344827586206897,24,0.6274509803921569,,0.6666666666666666,0.5,,0.6260869565217392,,,,1.282107574094402,0.0,-0.09142857142857143,0.5111379727162839,,,,,,0.0,0.0,0.0,0.0,0.9543855304835898,Howard Lockhart,QBC
16,1920,1.103448275862069,26,1.2549019607843137,,1.0,1.1666666666666667,,1.0434782608695652,,,,0.9527991218441274,0.0,1.3714285714285714,1.146606803660853,,,,,,0.0,0.0,0.0,0.0,1.0704594463532155,Mike Mitchell,TRS
17,1920,1.1724137931034482,30,0.23529411764705882,,0.16666666666666666,0.16666666666666666,,0.3130434782608696,,,,1.6750823271130626,0.0,0.045714285714285714,0.19616646520462788,,,,,,2.25,3.130434782608696,2.618181818181818,4.903225806451613,0.9767336284190217,Harry Mummery,QBC
18,1920,1.2413793103448276,33,1.8823529411764706,,2.1666666666666665,1.8333333333333333,,1.9652173913043478,,,,1.0230515916575194,0.0,2.1942857142857144,2.0100155413572787,,,,,,0.0,0.0,0.0,0.0,1.2510188710393002,Georges Vezina*,MTL
19,1921,0.9047619047619048,28,1.25,,1.4583333333333335,1.0416666666666667,,0.9236453201970443,,,,0.7006369426751593,2.5,1.8238993710691822,1.25644551392231,,,,,,,,,,1.0065864266074451,Clint Benedict*,OTS
20,1921,0.9523809523809523,23,1.0416666666666667,,1.3541666666666667,0.7291666666666667,,0.960591133004926,,,,0.8712465878070974,0.0,1.1949685534591195,1.04932966655208,,,,,,,,,,1.008784105329949,Jake Forbes,TRS
21,1921,1.0,25,1.25,,0.625,1.875,,1.625615763546798,,,,1.2397634212920838,1.25,0.5974842767295597,1.249570299071846,,,,,,,,,,1.0010674439509306,Howard Lockhart,HAM
22,1921,1.0476190476190477,27,0.20833333333333334,,0.20833333333333334,0.20833333333333334,,0.270935960591133,,,,1.251137397634213,0.0,0.09433962264150943,0.20625644551392233,,,,,,,,,,0.9914340101522843,Mike Mitchell,TRS
23,1921,1.0952380952380953,34,1.25,,1.3541666666666667,1.1458333333333335,,1.2192118226600985,,,,0.9372156505914468,1.25,1.2893081761006286,1.238398074939842,,,,,,,,,,0.9921280139593909,Georges Vezina*,MTL
