,season,age,gp,goals,assists,points,plusmin,plm,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,toi,hits,faceoff_wins,faceoff_losses,block,faceoff_pct,shot_pct,gpg,ppg,toi_avg
0,1918,27.564102564102566,13.871794871794872,8.76923076923077,3.717948717948718,12.487179487179487,0.0,27.615384615384617,0.0,0.0,0.0,0.8717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496088376178874,0.69803046793997,0.0
1,1919,27.548387096774192,13.161290322580646,6.967741935483871,3.3548387096774195,10.32258064516129,0.0,26.870967741935484,0.0,0.0,0.0,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4420761191159672,0.6549838628586255,0.0
2,1920,27.725,18.275,10.7,4.575,15.275,0.0,22.425,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49328962118444214,0.7063723654637641,0.0
3,1921,28.093023255813954,18.069767441860463,9.44186046511628,4.1395348837209305,13.581395348837209,0.0,23.11627906976744,0.0,0.0,0.0,1.0930232558139534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42613898608856304,0.6132826733546493,0.0
4,1922,27.85,19.4,8.975,5.475,14.45,0.0,11.525,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43219681284898676,0.6709536749482401,0.0
5,1923,28.225,19.25,7.825,5.25,13.075,0.0,20.9,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3514946828533785,0.5907803971390927,0.0
6,1924,26.829787234042552,17.574468085106382,5.425531914893617,3.021276595744681,8.446808510638299,0.0,17.76595744680851,0.0,0.0,0.0,1.0212765957446808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25198375279988305,0.39751144063428,0.0
7,1925,27.549295774647888,21.323943661971832,6.0,3.816901408450704,9.816901408450704,0.0,25.507042253521128,0.0,0.0,0.0,1.1830985915492958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23195317696531878,0.37594371020305933,0.0
8,1926,26.425531914893618,26.30851063829787,6.159574468085107,2.6808510638297873,8.840425531914894,0.0,28.72340425531915,0.0,0.0,0.0,1.2127659574468086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1852320477918226,0.26603517096323304,0.0
9,1927,27.31111111111111,32.925925925925924,6.511111111111111,3.1481481481481484,9.65925925925926,0.0,34.20740740740741,0.0,0.0,0.0,1.4962962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16537254337453572,0.24679108005331965,0.0
10,1928,27.053030303030305,33.14393939393939,6.2272727272727275,3.1515151515151514,9.378787878787879,0.0,37.14393939393939,0.0,0.0,0.0,1.3863636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16692505528132068,0.2511282948921131,0.0
11,1929,26.458015267175572,33.83206106870229,4.824427480916031,2.9389312977099236,7.763358778625954,0.0,34.61832061068702,0.0,0.0,0.0,1.3053435114503817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1249572112332277,0.19971123926277073,0.0
12,1930,26.154929577464788,36.46478873239437,9.161971830985916,7.704225352112676,16.866197183098592,0.0,36.99295774647887,0.0,0.0,0.0,1.3450704225352113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22751342649853382,0.42010972781575373,0.0
