Year,Unnamed: 0,age,gp,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,fouls,pts,selection
1950,111.0,25.94170403587444,50.28251121076233,0.0,0.0,2.4748878923766817,7.393721973094168,0.3227085201793723,0.0,0.0,0.0,2.4748878923766817,7.393721973094168,0.3227085201793723,0.3227085201793723,2.063228699551569,2.9130044843049334,0.6768968609865477,0.0,0.0,0.0,1.7556053811659187,0.0,0.0,0.0,2.4780269058295965,7.00403587443946,0.0
1951,290.0,26.037037037037038,50.1037037037037,0.0,0.0,2.7518518518518524,7.833333333333335,0.3381407407407408,0.0,0.0,0.0,2.7518518518518524,7.833333333333335,0.3381407407407408,0.3381407407407408,2.2585185185185197,3.09925925925926,0.7054518518518516,0.0,0.0,4.382962962962963,1.98,0.0,0.0,0.0,2.6918518518518524,7.760740740740741,0.0
1952,415.5,26.0,52.43103448275862,0.0,23.889655172413796,2.861206896551723,7.937931034482762,0.34635344827586223,0.0,0.0,0.0,2.861206896551723,7.937931034482762,0.34635344827586223,0.34635344827586223,2.35948275862069,3.249137931034483,0.6934827586206896,0.0,0.0,4.695689655172415,2.110344827586207,0.0,0.0,0.0,2.732758620689656,8.074999999999998,0.0
1953,535.5,26.008064516129032,51.71774193548387,0.0,23.44596774193549,2.6814516129032255,7.451612903225806,0.342491935483871,0.0,0.0,0.0,2.6814516129032255,7.451612903225806,0.342491935483871,0.342491935483871,2.4056451612903222,3.37741935483871,0.6963709677419352,0.0,0.0,4.354838709677421,2.027419354838709,0.0,0.0,0.0,2.9185483870967737,7.778225806451614,0.0
1954,652.5,25.9,54.42727272727273,0.0,22.315454545454546,2.5554545454545448,6.9700000000000015,0.34117272727272724,0.0,0.0,0.0,2.5554545454545448,6.9700000000000015,0.34117272727272724,0.34117272727272724,2.1336363636363647,3.029999999999999,0.6566181818181814,0.0,0.0,4.267272727272729,1.8700000000000003,0.0,0.0,0.0,2.4663636363636363,7.231818181818183,0.0
1955,760.0,26.01904761904762,51.78095238095238,0.0,22.344761904761896,2.9647619047619047,7.973333333333334,0.34840952380952384,0.0,0.0,0.0,2.9647619047619047,7.973333333333334,0.34840952380952384,0.34840952380952384,2.3514285714285723,3.2361904761904756,0.6769619047619047,0.0,0.0,4.717142857142857,2.202857142857143,0.0,0.0,0.0,2.3657142857142848,8.273333333333333,0.0
1956,858.5,25.77173913043478,60.70652173913044,0.0,23.205434782608688,3.3554347826086968,8.753260869565219,0.3746195652173911,0.0,0.0,0.0,3.3554347826086968,8.753260869565219,0.3746195652173911,0.3746195652173911,2.6815217391304342,3.606521739130435,0.7317826086956523,0.0,0.0,5.1717391304347835,2.298913043478261,0.0,0.0,0.0,2.5728260869565216,9.396739130434776,0.0
1957,954.0,26.0,55.85858585858586,0.0,22.459595959595966,3.279797979797981,8.759595959595957,0.3582626262626263,0.0,0.0,0.0,3.279797979797981,8.759595959595957,0.3582626262626263,0.3582626262626263,2.5222222222222226,3.3737373737373733,0.7046464646464651,0.0,0.0,5.168686868686869,1.7383838383838388,0.0,0.0,0.0,2.4040404040404044,9.074747474747472,0.0
1958,1053.0,26.242424242424242,55.494949494949495,0.0,22.394949494949486,3.5555555555555567,9.439393939393938,0.354070707070707,0.0,0.0,0.0,3.5555555555555567,9.439393939393938,0.354070707070707,0.354070707070707,2.5575757575757576,3.4707070707070704,0.6887878787878787,0.0,0.0,5.694949494949496,1.81919191919192,0.0,0.0,0.0,2.3858585858585855,9.668686868686867,0.0
1959,1148.5,25.902173913043477,60.22826086956522,0.0,23.34239130434782,3.8260869565217384,9.778260869565216,0.39227173913043484,0.0,0.0,0.0,3.8260869565217384,9.778260869565216,0.39227173913043484,0.39227173913043484,2.5815217391304346,3.4380434782608686,0.7111847826086957,0.0,0.0,5.755434782608695,1.9032608695652173,0.0,0.0,0.0,2.5173913043478255,10.236956521739131,0.0
1960,1244.0,26.19191919191919,58.05050505050505,0.0,22.74646464646464,4.1000000000000005,10.128282828282826,0.38389898989898985,0.0,0.0,0.0,4.1000000000000005,10.128282828282826,0.38389898989898985,0.38389898989898985,2.3808080808080803,3.2636363636363646,0.687080808080808,0.0,0.0,5.959595959595959,2.139393939393939,0.0,0.0,0.0,2.4808080808080812,10.572727272727272,0.0
1961,1340.0,26.118279569892472,64.73118279569893,0.0,23.22795698924731,4.289247311827958,10.448387096774194,0.3942150537634408,0.0,0.0,0.0,4.289247311827958,10.448387096774194,0.3942150537634408,0.3942150537634408,2.5784946236559136,3.526881720430106,0.7053978494623656,0.0,0.0,6.13440860215054,2.3172043010752694,0.0,0.0,0.0,2.6666666666666665,11.148387096774194,0.0
1962,1443.0,25.787610619469028,60.64601769911504,0.0,22.686725663716814,4.215929203539824,10.069026548672568,0.3926637168141593,0.0,0.0,0.0,4.215929203539824,10.069026548672568,0.3926637168141593,0.3926637168141593,2.467256637168142,3.401769911504426,0.6732831858407081,0.0,0.0,5.6929203539822995,2.278761061946903,0.0,0.0,0.0,2.456637168141593,10.904424778761062,0.0
1963,1558.0,25.77777777777778,59.376068376068375,0.0,21.88632478632479,3.9247863247863255,9.036752136752137,0.4141025641025642,0.0,0.0,0.0,3.9247863247863255,9.036752136752137,0.4141025641025642,0.4141025641025642,2.2709401709401704,3.166666666666666,0.6721880341880345,0.0,0.0,5.141880341880341,2.0717948717948715,0.0,0.0,0.0,2.436752136752137,10.116239316239314,0.0
1964,1672.0,26.135135135135137,61.78378378378378,0.0,22.587387387387377,3.941441441441441,9.224324324324323,0.41156756756756757,0.0,0.0,0.0,3.941441441441441,9.224324324324323,0.41156756756756757,0.41156756756756757,2.3072072072072074,3.2108108108108095,0.674072072072072,0.0,0.0,5.375675675675674,1.990990990990991,0.0,0.0,0.0,2.6297297297297284,10.186486486486487,0.0
1965,1784.5,25.82456140350877,60.6578947368421,0.0,22.23947368421052,3.864912280701755,9.188596491228074,0.4075701754385965,0.0,0.0,0.0,3.864912280701755,9.188596491228074,0.4075701754385965,0.4075701754385965,2.346491228070175,3.262280701754386,0.701140350877193,0.0,0.0,5.400877192982455,1.9359649122807003,0.0,0.0,0.0,2.492105263157894,10.062280701754386,0.08771929824561403
1966,1897.0,26.126126126126128,61.792792792792795,0.0,22.261261261261264,4.0549549549549555,9.507207207207207,0.4078198198198199,0.0,0.0,0.0,4.0549549549549555,9.507207207207207,0.4078198198198199,0.4078198198198199,2.433333333333334,3.3702702702702703,0.6790990990990989,0.0,0.0,5.5792792792792785,2.0936936936936936,0.0,0.0,0.0,2.506306306306307,10.544144144144148,0.09009009009009009
1967,2014.0,25.83739837398374,63.32520325203252,0.0,22.4528455284553,4.206504065040651,9.614634146341462,0.4228048780487804,0.0,0.0,0.0,4.206504065040651,9.614634146341462,0.4228048780487804,0.4228048780487804,2.5008130081300814,3.4203252032520326,0.7026260162601625,0.0,0.0,5.507317073170732,2.065853658536586,0.0,0.0,0.0,2.521951219512196,10.9130081300813,0.08130081300813008
1968,2151.0,25.85430463576159,62.443708609271525,0.0,22.223178807947015,4.077483443708608,9.237086092715233,0.42034437086092724,0.0,0.0,0.0,4.077483443708608,9.237086092715233,0.42034437086092724,0.42034437086092724,2.419867549668872,3.383443708609271,0.6756754966887415,0.0,0.0,5.284105960264898,2.104635761589403,0.0,0.0,0.0,2.481456953642384,10.577483443708608,0.06622516556291391
1969,2310.5,26.035714285714285,63.279761904761905,0.0,22.91666666666666,4.092261904761905,9.392857142857142,0.41727380952380955,0.0,0.0,0.0,4.092261904761905,9.392857142857142,0.41727380952380955,0.41727380952380955,2.3422619047619047,3.3017857142857148,0.6668511904761906,0.0,0.0,5.3892857142857125,2.176785714285715,0.0,0.0,0.0,2.5011904761904766,10.524404761904753,0.4523809523809524
1970,2480.0,26.35672514619883,63.771929824561404,0.0,22.82982456140349,4.2859649122807015,9.377777777777784,0.44252046783625726,0.0,0.0,0.0,4.2859649122807015,9.377777777777784,0.44252046783625726,0.44252046783625726,2.3742690058479536,3.1959064327485387,0.7237134502923976,0.0,0.0,5.005263157894738,2.3444444444444446,0.0,0.0,0.0,2.4187134502923966,10.946198830409354,0.935672514619883
1971,2674.0,25.93548387096774,61.645161290322584,0.0,22.045161290322586,3.9829493087557606,8.932718894009215,0.428811059907834,0.0,0.0,0.0,3.9829493087557606,8.932718894009215,0.428811059907834,0.428811059907834,2.1963133640553,2.9723502304147478,0.71110599078341,0.0,0.0,4.881105990783414,2.183870967741935,0.0,0.0,0.0,2.3152073732718903,10.162672811059908,0.43317972350230416
1972,2890.5,26.055555555555557,61.625,0.0,22.521759259259262,4.010185185185187,8.936574074074073,0.43034259259259217,0.0,0.0,0.0,4.010185185185187,8.936574074074073,0.43034259259259217,0.43034259259259217,2.1476851851851837,2.8879629629629626,0.7183101851851851,0.0,0.0,4.712500000000001,2.2203703703703703,0.0,0.0,0.0,2.273148148148149,10.162499999999996,0.4351851851851852
