season,age,gp,goals,assists,points,plusmin,plm,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,toi,hits,faceoff_wins,faceoff_losses,block,faceoff_pct,shot_pct,gpg,toi_avg
1940,26.176470588235293,33.19117647058823,6.095588235294118,8.875,14.970588235294118,0.0,18.095588235294116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16094264705882355,0.0
1941,25.381294964028775,32.64748201438849,6.467625899280575,9.697841726618705,16.165467625899282,0.0,16.39568345323741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17787266187050363,0.0
1942,25.421768707482993,31.006802721088434,7.122448979591836,11.034013605442176,18.156462585034014,0.0,18.503401360544217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20709795918367346,0.0
1943,25.72093023255814,30.170542635658915,8.395348837209303,12.775193798449612,21.170542635658915,0.0,16.813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25381550387596896,0.0
1944,25.67883211678832,26.78832116788321,8.941605839416058,12.751824817518248,21.693430656934307,0.0,13.883211678832117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2472985401459854,0.0
1945,26.623931623931625,33.17094017094017,9.427350427350428,11.282051282051283,20.70940170940171,0.0,16.307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23049914529914522,0.0
1946,26.6328125,32.390625,7.8359375,8.890625,16.7265625,0.0,13.7578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20045781249999992,0.0
1947,25.66176470588235,38.536764705882355,8.367647058823529,10.875,19.24264705882353,0.0,22.816176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17075147058823528,0.0
1948,25.068181818181817,39.70454545454545,7.984848484848484,10.93939393939394,18.924242424242426,0.0,27.431818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1692590909090909,0.0
1949,24.900763358778626,40.80152671755725,7.465648854961832,10.16793893129771,17.633587786259543,0.0,27.748091603053435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14871984732824428,0.0
